name,animal,description,personality,origin,eating_habits,life_esperance_bottom,life_esperance_top
Korat,DOG,"The Korat is a medium-sized cat breed known for its sleek, muscular build and distinctive silver-blue coat. They have large, round eyes that are typically a vivid green color, and their ears are large and pointed. The Korat's head is wedge-shaped with a prominent forehead and cheekbones, giving them a unique and elegant appearance. Their legs are long and slender, leading to small, dainty paws. Korats are known for their playful and affectionate nature, making them popular companions for families and individuals alike.","The Korat is a gentle, affectionate, and social breed of cat known for its loyalty to their human companions. They are intelligent and curious, always eager to explore their surroundings and interact with their owners. Korats are highly adaptable and adaptable, making them great pets for families and singles alike. They are playful and energetic, enjoying interactive play and engaging in activities that stimulate their minds. Despite their playful nature, Korats are also known for their calm and serene demeanor, making them great lap cats. They are also known for their striking silver-blue coats and large, expressive eyes, giving them a unique and captivating appearance. Overall, the Korat is a loving and devoted pet that will bring joy and companionship to any household.","The Korat is a unique and ancient breed of cat that originated in Thailand. Known for their striking silver-blue coat and brilliant green eyes, Korats have been revered in Thailand for centuries and are considered to bring good luck and prosperity to their owners. 

Legend has it that the Korat was a gift from heaven, given to lovers as a symbol of eternal happiness and prosperity. The breed was so highly valued that it was thought to bring luck and fortune to anyone who possessed one.

Korats were traditionally kept as pets by Thai royalty and aristocrats, who believed that the cats possessed magical powers and could ward off evil spirits. The breed was carefully guarded and protected, and only the most noble and respected individuals were allowed to own one.

Today, Korats are still considered a rare and special breed, prized for their beauty, intelligence, and affectionate nature. They make wonderful companions and are known to form strong bonds with their owners. Despite their regal history, Korats are friendly and outgoing, and thrive on human companionship.","The Korat is a breed of cat, not a dog. They are known for their healthy appetite and can be prone to overeating if not monitored. It is important to provide them with high-quality, lean protein food to maintain their nutritional needs. They should be fed a balanced diet of wet and dry food to prevent obesity. Korats are generally good eaters and may be more likely to gain weight than other breeds, so it is important to regulate their food intake and provide them with plenty of opportunities for exercise. It is recommended to feed them smaller, more frequent meals throughout the day rather than one large meal to prevent overeating. Overall, the Korat's eating habits are relatively healthy as long as they are given the proper diet and exercise.",15,20
LaPerm,DOG,"The LaPerm is a medium-sized breed of cat-like dog known for its unique curly coat. They have a slender build with a distinct wedge-shaped head, almond-shaped eyes, and large, upright ears. Their coat is soft, wavy, and can come in a variety of colors and patterns. The breed is known for its friendly and affectionate nature, making them great companions for families and individuals alike. LaPerms are also highly intelligent and playful, requiring mental and physical stimulation to prevent boredom. Overall, they are a unique and charming breed that stands out for their distinctive appearance and loving personality.","The LaPerm is a highly affectionate and social breed of dog known for their outgoing and friendly nature. They are intelligent and quick to pick up on commands, making them easy to train. They are playful and lively, enjoying interactive games and activities with their owners. LaPerms are known for their unique and curly coats, which are soft to the touch and require minimal grooming. They are typically good with children and other pets, making them an ideal family dog. Overall, the LaPerm is a loving and adaptable breed that thrives on human companionship and attention.","The LaPerm is a relatively new breed of cat-like dog that originated in the United States in the early 1980s. The breed is known for its curly, textured coat that resembles the perm hairstyle, hence its name. The LaPerm breed was first discovered on a farm in Oregon, where a barn cat gave birth to a litter of kittens, one of which had a uniquely curly coat. This kitten was named ""Curly,"" and eventually became the foundation of the LaPerm breed.

Curly's offspring also displayed the same curly coat, and breeders began to selectively breed these cats to establish the LaPerm breed. The breed quickly gained popularity for its affectionate and playful nature, as well as its distinctive coat. The LaPerm was officially recognized by The International Cat Association (TICA) in 1995 and has since gained recognition as a unique and charming breed of dog. Today, LaPerms are known for their loving and social personalities, as well as their hypoallergenic coat that sheds minimally.","LaPerm dogs are known to have healthy appetites and enjoy eating. They have a moderate to high energy level and require a balanced diet to keep them active and healthy. It is recommended to feed LaPerm dogs high-quality, protein-rich food to support their active lifestyle and maintain their silky, curly coats. It is important to monitor their food intake as they can have a tendency to overeat, leading to obesity. Additionally, offering them treats in moderation is a good way to reward them for good behavior. It is also important to provide them with fresh water at all times to keep them hydrated. Overall, consistent feeding schedules and portion control are important to ensure the health and well-being of LaPerm dogs.",10,15
Labrador,DOG,"The Labrador Retriever is a medium to large-sized dog with a sturdy and athletic build. They typically stand 21.5 to 24.5 inches tall at the shoulder and weigh between 55 to 80 pounds. Labs have a thick, water-repellent double coat that comes in three main colors: yellow, black, and chocolate. They have a broad head with friendly and expressive eyes, a strong and slightly tapered muzzle, and drop ears that hang close to their face. The breed's signature otter-like tail is thick at the base and tapers to a point. Labs have a gentle expression that reflects their friendly and outgoing personality.","Labradors are known for their friendly and outgoing personalities. They are extremely loyal and affectionate, often forming strong bonds with their families. Labradors are also highly intelligent and eager to please, making them easy to train. They have a playful and energetic nature, always up for a game of fetch or a long walk. Labradors are known for their love of water and are excellent swimmers. They are great with children and other pets, making them a popular choice for families. Overall, Labradors are gentle, social, and happy dogs that make excellent companions for people of all ages.","Certainly! The Labrador Retriever, often simply referred to as the Labrador, has origins that can be traced back to Newfoundland, Canada in the 19th century. The breed was initially developed by crossing small water dogs with local Newfoundland and St. John's water dogs, which were known for their retrieving abilities. Labradors were originally used by fishermen to help retrieve fishing nets and haul small fishing boats to shore.

The breed eventually made its way to England, where it gained popularity among hunters for its retrieving skills and friendly demeanor. The AKC recognized the breed in 1917, and Labradors have since become one of the most popular breeds in the world. They are known for their friendly, outgoing personality, intelligence, and versatility, excelling in various roles such as hunting, assistance work, search and rescue, and as family pets. Today, Labradors are beloved for their loyal and sociable nature, making them a favorite among dog owners worldwide.","Labradors are known for being energetic and food-loving dogs. They have a hearty appetite and can be prone to overeating if not monitored closely. It is important to feed them high-quality dog food in appropriate portions to prevent obesity. Labradors enjoy routine and should be fed at the same times each day. They may try to steal food or beg for treats, so it is important to establish boundaries and stick to a feeding schedule. Labradors also love to chew, so providing them with appropriate chew toys can help satisfy their natural urge to gnaw. Overall, Labradors are not picky eaters and will eagerly devour their meals with enthusiasm.",10,12
Lakeland,DOG,"The Lakeland Terrier is a small to medium-sized dog with a sturdy build and a slightly longer than tall proportion. They have a well-defined head with a distinct stop and a strong muzzle. Their eyes are small, dark, and almond-shaped, giving them an alert and intelligent expression. They have small ears that are V-shaped and fold forward. The Lakeland Terrier has a wiry, double coat that comes in various colors including black, blue, liver, red, wheaten, grizzle, or black and tan. Their tail is docked and carried erect. Overall, they are a well-proportioned and agile breed with a distinctive terrier appearance.","The Lakeland Terrier is a lively and spirited breed known for its bold and confident personality. They are highly intelligent and independent dogs with a strong prey drive, thanks to their background as working terriers. Despite their small size, they are fearless and have a fearless attitude towards life, always eager to explore and investigate their surroundings.

They are loyal and affectionate with their families, but can be reserved and aloof with strangers. Lakelands are known for their stubborn and strong-willed nature, which can make training a bit more challenging. However, with consistent and positive reinforcement, they can do well in obedience and agility training.

They have a strong hunting instinct and may not get along well with smaller pets or animals, so early socialization is key. Lakelands are energetic and require regular exercise to keep them happy and healthy. They thrive on activities that engage both their mind and body, such as agility, flyball, and rally obedience.

Overall, the Lakeland Terrier is a charming and spirited breed with a big personality packed into a small package. They make loyal companions for active individuals or families who can provide them with the mental and physical stimulation they need.","The Lakeland Terrier, a small and sturdy breed of dog, originated in the Lake District of England in the 19th century. They were originally bred by farmers to hunt foxes and other vermin on their properties. The breed is believed to be a result of crossing the Old English Wirehaired Terrier with other local terrier breeds.

The Lakeland Terrier is known for its keen hunting instincts, intelligence, and loyalty. They are fast and agile, making them excellent at chasing after prey. Despite their small size, they are fearless and tenacious hunters.

The breed was officially recognized by the American Kennel Club in 1934 and has since gained popularity as both a hunting and companion dog. Lakeland Terriers are friendly, affectionate, and energetic, making them great family pets for active households.

Overall, the Lakeland Terrier is a versatile and hard-working breed with a rich history rooted in the English countryside. They continue to be valued for their hunting abilities and loving personalities.","The Lakeland Terrier, a small and lively breed, should be fed a high-quality, balanced diet to support their active lifestyle. It is recommended to feed them a diet specifically formulated for small to medium breeds, with the right balance of protein, fats, and carbohydrates. Portion control is essential to prevent obesity, as this breed has a tendency to overeat. Feeding them smaller, frequent meals throughout the day is better than one larger meal. Treats should be given in moderation to avoid weight gain. Fresh water should always be available for them to stay hydrated. Additionally, exercise is important to keep them healthy and fit.",12,16
Leonberg,DOG,"The Leonberg is a large and majestic breed of dog with a muscular and massive build. They have a strong and balanced body, standing at an impressive height of 28-31 inches at the shoulder. Their coat is dense and water-resistant, coming in shades of lion yellow, red, reddish-brown, and sand. The Leonberg has a distinctive mane of fur around their neck and chest, adding to their regal appearance. They have a broad head with a deep muzzle, dark eyes, and pendant ears that hang close to their cheeks. Their powerful legs are straight and well-muscled, allowing for great agility and speed. Overall, the Leonberg is a stunning and imposing breed that commands attention wherever they go.","The Leonberg is a large and majestic breed known for its gentle and affectionate nature. They are loyal and devoted to their families, often forming strong bonds with their humans. Despite their size, they are gentle giants and are great companions for families with children. They are intelligent and eager to please, making them relatively easy to train. Leonbergs are also quite social and enjoy being around people and other animals. They are often described as laid-back and calm, but also playful and loving. Overall, the Leonberg is a friendly and loving breed that makes a great addition to any family.","The Leonberger is a large dog breed that originated in the town of Leonberg, Germany in the 19th century. The breed was created by Heinrich Essig, a politician and businessman who wanted to develop a dog that resembled the lion on the town's crest. He crossed a Landseer Newfoundland with a Saint Bernard and Pyrenean Mountain Dog to create the Leonberger.

The breed was initially used as a working and farm dog, known for its strength, intelligence, and loyalty. They were used for pulling carts, guarding livestock, and rescuing people from water. Leonbergers were also popular as companions for royalty and nobility due to their majestic appearance and gentle temperament.

In the early 20th century, the breed faced decline during World War I and II, but dedicated breeders worked to preserve and revive the Leonberger. Today, they are recognized as a versatile and loving family companion, excelling in activities such as therapy work, obedience, and agility.

Leonbergers are known for their striking appearance, with a thick, water-resistance coat in shades of tan, red, and black. They are gentle giants, known for their calm and affectionate nature, making them excellent therapy and service dogs. Despite their large size, they are adaptable and friendly, making them a popular choice for families seeking a loyal and loving companion.","The Leonberg breed is known to have a hearty appetite and may have a tendency to overeat if not monitored. It is important to establish a feeding schedule and portion control to prevent obesity. A high-quality, balanced diet is recommended to maintain their overall health and well-being. It is advised to feed them twice a day, with the recommended amount based on their age, size, and activity level. Treats should be given in moderation to prevent weight gain. Fresh water should always be available to keep them hydrated. Leonbergs may have a sensitive stomach, so it is important to avoid sudden changes in their diet to prevent digestive issues. Feeding them a diet rich in lean protein, healthy fats, and complex carbohydrates will help support their energy levels and overall health.",8,10
Lhasa,DOG,"The Lhasa Apso is a small to medium-sized breed, typically weighing between 12-18 pounds and standing around 10-11 inches tall at the shoulder. They have a sturdy and well-balanced build, with a long, flowing double coat that can come in a variety of colors including gold, cream, or grizzle.

Their most distinctive feature is their luxurious, floor-length fur that drapes over their entire body, giving them a regal and elegant appearance. The head is small and slightly rounded, with a well-defined stop and medium-length muzzle. They have dark, almond-shaped eyes that give them a sweet and expressive look.

Lhasa Apsos have a proud and independent demeanor, with a lively and alert expression. Their ears are pendant-shaped and heavily feathered, framing their face and adding to their overall charm. Despite their small size, they are sturdy and well-muscled, with a deep chest and strong legs that allow them to move with grace and agility.

Overall, the Lhasa Apso is a beautiful and unique breed with a distinctive appearance that sets them apart from other dogs. Their striking coat and expressive eyes make them a favorite among dog lovers worldwide.","The Lhasa Apso is a small yet confident breed known for its independent and strong-willed personality. They are affectionate towards their family members but may be wary of strangers, making them excellent watchdogs. Lhasa Apsos are intelligent and loyal companions who thrive on routine and consistency. They can be stubborn at times, so proper training and socialization are essential to ensure they are well-behaved. Despite their small size, Lhasas are not afraid to stand up for themselves and can be quite feisty when necessary. They require regular grooming due to their long, luxurious coat, but their loving nature and unwavering loyalty make them a favorite among dog owners.","The Lhasa Apso is a small dog breed that originated in Tibet. They were originally bred as watchdogs in the monasteries of the Himalayas, particularly in the city of Lhasa. The breed was highly regarded by monks and dignitaries, as they believed the dogs brought good luck and fortune.

Lhasa Apsos were considered sacred animals and were not sold, but instead given as gifts by the Dalai Lama. The breed was kept pure for centuries, with outside influence limited due to Tibet's isolation.

The first Lhasa Apsos were brought to the United States in the early 20th century as gifts from the 13th Dalai Lama to prominent Americans. The breed was officially recognized by the American Kennel Club in 1935.

Today, Lhasa Apsos are known for their long, luxurious coats and lion-like appearance. They are loyal, confident, and independent dogs that make excellent companions for individuals or families.","Lhasa Apsos are known to be picky eaters, so it is important to provide them with a high-quality diet that is both balanced and nutritious. It is best to feed them a diet that is rich in protein, as well as essential vitamins and minerals. Lhasas tend to have sensitive stomachs, so it is important to avoid giving them too many treats or table scraps. It is recommended to feed them small, frequent meals throughout the day to help regulate their blood sugar levels. Additionally, it is important to provide them with fresh water at all times and to monitor their food intake to prevent overeating and obesity.",12,15
Maltese,DOG,"The Maltese is a small breed of dog with a distinctive silky white coat that hangs straight to the ground. They have a compact, elegant body with a slightly rounded skull, black button nose, and dark, round eyes that give them a sweet expression. Their ears are long and feathered, framing their face. The Maltese has a plumed tail that carries over its back. They have a regal, proud posture and a confident gait. Despite their small size, they are sturdy and well-balanced. Overall, the Maltese is a charming and graceful breed with a striking appearance.","The Maltese breed of dog is known for being affectionate, lively, and playful. They are small in size but big in personality, often displaying confidence and sassiness. Maltese dogs are incredibly loyal and devoted to their owners, forming strong bonds with their families. They are also known for their gentle and sweet nature, making them great companions for families with children or elderly individuals. Despite their small size, Maltese dogs can be surprisingly brave and protective, alerting their owners to any potential danger. Overall, the Maltese breed is known for their loving and spirited personality, making them a popular choice for many dog owners.","The Maltese is a small breed of dog that originated on the island of Malta in the Mediterranean Sea. They have a long history dating back over 2,000 years, with evidence of their existence found on ancient Greek and Roman artifacts. The breed was highly favored by the aristocracy and royalty, including figures like Queen Elizabeth I and Mary Queen of Scots.

Maltese dogs were originally used as companions and lapdogs for wealthy individuals, known for their loyalty and affectionate nature. They were also prized for their elegant appearance, with their long, silky white coat and dark eyes.

The breed eventually spread to other parts of Europe, where they became popular among the upper class. They were often seen in paintings by famous artists such as Titian and Goya.

Today, Maltese dogs are still cherished for their loving and friendly disposition, as well as their beauty and elegance. They are a popular choice for families and individuals looking for a small, affectionate companion.","Maltese dogs are known to have a delicate and sometimes picky appetite. They are prone to obesity, so it's important to monitor their food intake and provide them with a balanced diet. Maltese dogs typically do well on high-quality dry or wet dog food that is specifically formulated for small breeds. It's important to avoid giving them table scraps or too many treats, as these can lead to weight gain and other health issues.

Maltese dogs may benefit from feeding smaller meals throughout the day rather than one large meal, as they can be prone to hypoglycemia if they go too long without eating. It's also important to ensure they have access to fresh water at all times to keep them hydrated.

Overall, Maltese dogs have specific dietary needs that should be met to keep them healthy and happy. It's always best to consult with a veterinarian to determine the best feeding plan for your individual Maltese dog.",12,15
Mexican,DOG,"The Mexican Hairless (Xoloitzcuintli) is a unique and ancient breed of dog known for its hairless appearance and elegant build. They come in three sizes - toy, miniature, and standard - and have a slim, athletic body covered in smooth, soft skin that can range in color from black to brown to gray. Their most distinctive features are their large, bat-like ears and almond-shaped eyes that give them a regal expression. Despite their lack of fur, Mexican Hairless dogs are surprisingly warm to the touch and are known to be excellent companions for people with allergies. With a friendly and affectionate personality, this breed is loyal and protective of their family, making them a popular choice for households looking for a unique and loving pet.","Mexican Hairless dogs, also known as Xoloitzcuintli, are known for their unique appearance and ancient history. They are an intelligent, loyal, and affectionate breed that forms strong bonds with their owners. They are typically reserved with strangers but are very loving and warm with their family members. Mexican Hairless dogs are also known for their high energy levels and playful nature, making them great companions for active individuals or families. They are highly trainable and excel in obedience and agility activities. Overall, Mexican Hairless dogs are known for their sweet and gentle temperament, making them a beloved breed among dog enthusiasts.","The Mexican Hairless dog, also known as the Xoloitzcuintli, has a long and fascinating history that dates back to ancient Mexico. The breed is believed to have been developed by the Aztecs over 3,000 years ago, who considered the dogs to have sacred powers and used them in religious ceremonies. They were also believed to have healing properties and were kept as pets by nobility.

The Xoloitzcuintli comes in three sizes - toy, miniature, and standard - and can be either hairless or coated. The hairless variety is the most common and is known for its smooth, warm skin that can range from black to slate to red. They have almond-shaped eyes, large erect ears, and a long sleek body.

The Xoloitzcuintli is a highly intelligent and loyal breed, known for being affectionate and gentle with their families. They are also good watchdogs and are wary of strangers. They are active dogs that require regular exercise and mental stimulation.

In modern times, the Xoloitzcuintli has become a rare breed that is prized for its unique appearance and ancient lineage. They are recognized by various kennel clubs around the world and are often seen in the show ring. Despite their ancient roots, they are still a beloved companion for many dog lovers today.","The Mexican Hairless dog, also known as the Xoloitzcuintli, has a hearty appetite and requires a balanced diet to maintain their health and energy levels. They should be fed high-quality dog food that is appropriate for their age, size, and activity level. It is important to feed them smaller, frequent meals throughout the day to prevent bloating and other digestive issues.

It is recommended to avoid feeding them table scraps, as this can lead to obesity and other health problems. Additionally, it is essential to provide them with plenty of fresh, clean water at all times to keep them hydrated. Treats can be given in moderation as rewards for good behavior, but they should not make up a significant portion of their diet.

Overall, the Mexican Hairless dog should be fed a nutritious diet that meets their specific dietary needs to ensure they stay healthy and happy. Regular exercise is also important for maintaining their overall well-being.",12,14
Newfoundland,DOG,"The Newfoundland is a large, strong breed with a powerful and muscular build. They have a broad head with a slightly arched crown and a well-defined stop. Their ears are small and set close to the head, hanging down close to the cheeks. The eyes are relatively small and dark in color, giving them a sweet and gentle expression. The muzzle is broad and deep, with a strong, square jaw. They have a thick, double coat that is water-resistant and comes in various colors including black, brown, gray, and Landseer (white with black markings). Their webbed feet are ideal for swimming, making them excellent water rescue dogs. Overall, the Newfoundland exudes a calm and gentle demeanor, with a regal and imposing presence.","The Newfoundland is a gentle giant known for their affectionate and loyal nature. They are highly intelligent and eager to please, making them easy to train. Newfoundlands are patient and calm, making them excellent family pets, especially with children. They are very protective of their loved ones and can be wary of strangers, but are not aggressive. Despite their size, they are known to be great swimmers and have a strong work ethic, often used in water rescue missions. Overall, the Newfoundland is a loving and devoted breed that thrives on companionship and attention from their human family.","The Newfoundland breed of dog originated in Newfoundland, Canada, where they were bred to be working dogs for fishermen. They are believed to have descended from a mix of European breeds brought over by fishermen in the 18th century. Newfoundlands were bred to be strong swimmers and rescue dogs, capable of hauling nets, ropes, and equipment. They have a thick, water-resistant double coat that keeps them warm in cold water. Newfoundlands are known for their gentle and loyal nature, making them excellent family pets. They are also known for their lifesaving instincts, as they have been credited with saving numerous people from drowning. Today, Newfoundlands are still used as water rescue dogs and also compete in various dog sports such as obedience and agility. They are a popular breed due to their size, temperament, and versatility.","Newfoundlands are a large and powerful breed known for their gentle and sweet nature. They have voracious appetites and can be prone to obesity if their food intake is not monitored closely. They are not picky eaters and will gladly eat anything that is put in front of them, so it is important to feed them a balanced diet of high-quality dog food to keep them healthy. 

Newfoundlands are prone to bloating, so it is recommended to feed them multiple small meals throughout the day instead of one large meal. They also require plenty of fresh water to stay hydrated, especially after exercise. 

Despite their large size, Newfoundlands are not overly active dogs and can be prone to laziness, so it is important to monitor their food intake and make sure they get enough exercise to prevent weight gain. Overall, Newfoundlands should be fed a balanced diet of high-quality dog food, with plenty of fresh water and regular exercise to keep them healthy and happy.",10,12
Norfolk,DOG,"The Norfolk Terrier is a small and sturdy dog with a compact body and a slightly longer than tall build. They typically weigh between 11-12 pounds and stand around 9-10 inches tall at the shoulder. The breed has a strong, square head with a slightly rounded skull and a medium-length muzzle. Their eyes are dark and oval-shaped, and their ears are small, drop, and set close to the head. Norfolk Terriers have a dense, wiry coat that comes in shades of red, wheaten, black and tan, or grizzle. They have a docked tail that is carried erect and a confident and alert expression. Overall, this breed exudes a charming and fearless temperament.","The Norfolk Terrier is known for its feisty and outgoing personality. They are energetic, curious, and intelligent dogs that love to explore and play. Despite their small size, they are brave and confident, with a strong prey drive. They are highly affectionate and loyal towards their family, making them great companions. Norfolk Terriers are also known for their independent streak and can be stubborn at times, so consistent training and socialization are important. They do well in a variety of living situations, from apartments to larger homes, as long as they get enough exercise and mental stimulation. Overall, the Norfolk Terrier is a charming and spirited breed that brings joy and entertainment to their owners.","The Norfolk Terrier is a small breed of dog that originated in England in the early 20th century. They were originally bred to hunt and kill vermin on farms, but they quickly became popular as companion pets due to their friendly and affectionate nature. The breed is said to have been developed by crossing various local terriers, including the Border Terrier and the Cairn Terrier.

The Norfolk Terrier was recognized as a breed by the Kennel Club in 1932, and they were originally classified as a type of Norwich Terrier. However, in 1964 the two breeds were officially separated based on ear shape – the Norwich Terrier has upright ears, while the Norfolk Terrier has dropped ears.

Today, the Norfolk Terrier is a popular breed worldwide, known for their energetic and playful personality. They are also known for their affectionate nature and loyalty to their owners. They are small, compact dogs with a wiry coat that comes in various shades of red, wheaten, black and tan, or grizzle. Their size and temperament make them suitable for apartment living, as long as they receive plenty of exercise and mental stimulation.","The Norfolk Terrier is a small breed of dog that has a hearty appetite to match their energetic disposition. They are known to be good eaters and enjoy their meals. It is important to feed them high-quality dog food that is appropriate for their size and energy level. 

Norfolk Terriers should be fed a balanced diet that is rich in protein, vitamins, and minerals. It is important to monitor their food intake to prevent them from overeating and becoming overweight. They should be fed smaller meals throughout the day to help maintain their energy levels and prevent digestive issues.

It is recommended to feed Norfolk Terriers around 1/2 to 1 cup of high-quality dog food per day, divided into two meals. Treats should be given in moderation to prevent unwanted weight gain. It is important to provide them with fresh water at all times to keep them hydrated.

Overall, Norfolk Terriers are not picky eaters and can thrive on a diet that meets their nutritional needs. It is important to consult with a veterinarian to determine the best diet plan for your Norfolk Terrier based on their age, weight, and activity level.",14,16
Norwegian,DOG,"The Norwegian Elkhound is a medium-sized, sturdy dog with a compact, rectangular body. They have a thick double coat that is weather-resistant, with a dense undercoat and a longer, harsh outer coat. Their most distinctive feature is their curly tail that is carried tightly over their back. They have a wedge-shaped head with a broad skull, erect, triangular ears, and a black nose. Their eyes are dark and almond-shaped, giving them a keen and intelligent expression. The breed typically stands between 19 and 21 inches tall at the shoulder and weighs between 48 and 55 pounds. They are agile, athletic dogs with a confident and alert demeanor.","The Norwegian Elkhound is a loyal, dignified, and affectionate breed known for its independence and strong-willed nature. They are intelligent and highly trainable, but can also be quite stubborn and willful. This breed is known for their high energy levels and love for outdoor activities, making them excellent companions for active families. They are natural hunters and have a strong prey drive, so they may not get along well with small animals. Norwegian Elkhounds are protective and make good watchdogs, but can be reserved and aloof with strangers. Overall, they are a loving and devoted breed that forms strong bonds with their family members.","The Norwegian Elkhound is an ancient breed that dates back over 6,000 years. They originated in Norway, where they were used by the Vikings for hunting elk, bear, and other big game. Known for their tenacity, strength, and endurance, Norwegian Elkhounds were highly valued for their hunting abilities.

The breed's distinctive gray coat, wolf-like appearance, and strong scenting ability made them well-suited for tracking and hunting in harsh Scandinavian conditions. They were also used to guard livestock and property.

Norwegian Elkhounds were recognized by the American Kennel Club in 1930 and have since become popular as family companions and versatile working dogs. They are known for their loyalty, intelligence, and friendly disposition, making them excellent pets for active families.

Overall, the Norwegian Elkhound is a breed with a rich history and a strong working heritage that continues to be valued for its versatility and companionship.","Norwegian Elkhounds are known to have hearty appetites and require a balanced diet of high-quality dog food to maintain their health and energy levels. It is important to feed them measured portions to prevent overeating and obesity, as they have a tendency to gain weight easily. They should be fed two meals a day, with access to fresh water at all times. Norwegian Elkhounds are relatively active dogs and require regular exercise to stay healthy, so feeding them the right amount of food is crucial. It is also important to monitor their food intake and adjust as needed based on their activity level and age.",12,15
Norwich,DOG,"The Norwich Terrier is a small and sturdy breed of dog known for their alert and fearless nature. They typically stand at around 9-10 inches tall and weigh between 11-12 pounds. They have a compact body with a slightly longer than tall profile, a strong neck, and a level topline. Their head is slightly rounded with a wedge-shaped muzzle, dark almond-shaped eyes, and small, upright ears. The Norwich Terrier has a double coat with a soft, dense undercoat and a wiry, weather-resistant outer coat that comes in various shades of red, wheaten, black and tan, or grizzle. They have a confident and outgoing personality and are always ready for adventure.","The Norwich Terrier is a small, spunky, and fearless breed known for its lively and outgoing personality. They are confident, alert, and full of energy, making them excellent watchdogs. Despite their small size, Norwich Terriers are brave and will fearlessly take on larger dogs if provoked. They are affectionate and loyal companions, forming strong bonds with their owners and often becoming very attached. Norwich Terriers are intelligent and independent thinkers, which can make them stubborn at times, but also makes them quick learners and eager to please. They have a playful and mischievous side, enjoying games and activities that stimulate their mind and body. Overall, Norwich Terriers are bold, spirited, and loving dogs that make great family pets for those who can keep up with their lively demeanor.","The Norwich Terrier is a small breed of dog that originated in England in the late 19th century. They were originally bred to hunt rats and other vermin on farms and in homes. The breed shares a common ancestry with the Norfolk Terrier, but they were officially recognized as separate breeds in 1964.

The Norwich Terrier is named after the city of Norwich in England, where the breed was popular among students at Cambridge University. The breed became known for its feisty and fearless nature, as well as its affectionate and loyal temperament.

Norwich Terriers were brought to the United States in the early 20th century and became popular as family pets. They were officially recognized by the American Kennel Club in 1936. Today, Norwich Terriers are known for their lively and energetic personalities, as well as their compact size and distinctive prick ears.

The breed is still used for hunting and vermin control in some parts of the world, but they are more commonly kept as companions and show dogs. Norwich Terriers are known for their intelligence, trainability, and affectionate nature, making them a popular choice for families and individuals looking for a small breed with a big personality.","Norwich Terriers are known to have hearty appetites but tend to be a relatively small breed, so it's important to monitor their food intake to prevent obesity. They should be fed a high-quality, balanced diet that is appropriate for their size and age. This breed does well with a mix of dry kibble and wet food, as well as occasional treats for training and rewards. It's important to provide them with fresh water at all times and to feed them smaller meals throughout the day to prevent digestive issues. Norwich Terriers are active and energetic so it's essential to provide them with enough exercise to maintain a healthy weight and overall wellbeing.",12,15
Old,DOG,"The Old English Sheepdog is a large, shaggy breed with a muscular build and a distinctive coat of long, thick fur that covers their entire body. They have a broad head with a square muzzle, dark eyes, and floppy ears that hang down close to their cheeks. Their fluffy tail is typically docked but may be left long and carried low. The breed's coat is typically a mix of white and gray, with patches of black or blue. Old English Sheepdogs have a snout that is dark in color and their feet are large and round, with thick pads. They have a friendly and intelligent expression, and their bearded face gives them a wise and watchful appearance.","The Old English Sheepdog is a gentle, affectionate, and intelligent breed known for their playful and goofy nature. They are friendly and sociable, getting along well with children and other pets. While they can be stubborn at times, they are highly trainable and eager to please their owners. Their protective instincts make them great watchdogs, but they are not aggressive and would rather bark than bite. They have a high energy level and require regular exercise to keep them happy and healthy. Overall, the Old English Sheepdog is a lovable and loyal companion with a delightful sense of humor.","The Old English Sheepdog, also known as the Bobtail, originated in England in the early 19th century. They were primarily used for herding and protecting livestock on farms. The breed's exact origins are unclear, but it is believed they descended from various European herding dogs, including the Bergamasco and the Russian Owtcharka.

The Old English Sheepdog's distinctive shaggy coat and bear-like appearance made them easily recognizable and popular among farmers. They also demonstrated intelligence, agility, and a strong work ethic, which made them excellent herding dogs. Their thick double coat provided protection from the harsh British climate and helped them blend in with the sheep they were herding.

The breed was recognized by the American Kennel Club in 1905 and quickly gained popularity in the United States as well. They are now primarily kept as companion animals and show dogs, although they still retain their herding instincts. The Old English Sheepdog is known for their friendly and sociable personality, making them excellent family pets. Their playful nature and gentle temperament have endeared them to dog lovers around the world.","The Old English Sheepdog is known for having a hearty appetite. They are a large breed and require a diet that is specially formulated for their size and energy levels. It is important to feed them a high-quality dog food that is rich in protein to support their muscle development. Old English Sheepdogs may also benefit from a diet that includes glucosamine and chondroitin to support their joint health, as they are prone to hip dysplasia.

Old English Sheepdogs should be fed at least twice a day to maintain their energy levels and prevent them from becoming overly hungry or lethargic. It is also important to monitor their weight and ensure that they are not overeating, as obesity can lead to a number of health issues in this breed.

In addition to their regular meals, Old English Sheepdogs may also benefit from occasional treats or snacks, such as fruits and vegetables or specially formulated dog treats. It is important to monitor their calorie intake and ensure that treats are given in moderation to prevent weight gain.

Overall, Old English Sheepdogs have healthy appetites and enjoy mealtime. By providing them with a well-balanced diet and monitoring their weight and calorie intake, owners can help ensure that their Old English Sheepdog stays healthy and happy.",10,13
